1349716016, 50
1349717305, 14
1349718594, 23
1349719883, 18
1349721172, 24
1349722461, 6
1349723750, 9
1349725039, 15
1349726328, 15
1349727617, 11
1349728906, 10
1349730195, 52
1349731484, 7
1349732773, 12
1349734062, 6
1349735351, 6
1349736640, 0
1349737929, 3
1349739218, 37
1349740507, 33
1349741796, 69
1349743085, 2
1349744374, 4
1349745663, 3
1349746952, 6
1349748241, 4
1349749530, 4
1349750819, 5
1349752108, 4
1349753397, 4
1349754686, 4
1349755975, 3
1349757264, 1
1349758553, 4
1349759842, 3
1349761131, 9
1349762420, 4
1349763709, 9
1349764998, 5
1349766287, 8
1349767576, 6
1349768865, 8
1349770154, 6
1349771443, 11
1349772732, 15
1349774021, 12
1349775310, 16
1349776599, 8
1349777888, 28
1349779177, 50
1349780466, 34
1349781755, 13
1349783044, 18
1349784333, 7
1349785622, 19
1349786911, 12
1349788200, 24
1349789489, 9
1349790778, 27
1349792067, 26
1349793356, 46
1349794645, 19
1349795934, 15
1349797223, 24
1349798512, 19
1349799801, 66
1349801090, 45
1349802379, 24
1349803668, 11
1349804957, 12
1349806246, 15
1349807535, 21
1349808824, 23
1349810113, 47
1349811402, 68
1349812691, 23
1349813980, 13
1349815269, 22
1349816558, 17
1349817847, 14
1349819136, 15
1349820425, 9
1349821714, 3
1349823003, 4
1349824292, 7
1349825581, 8
1349826870, 139
1349828159, 8
1349829448, 3
1349830737, 29
1349832026, 17
1349833315, 5
1349834604, 10
1349835893, 16
1349837182, 15
1349838471, 4
1349839760, 1
1349841049, 3
1349842338, 3
1349843627, 11
1349844916, 72
1349846205, 4
1349847494, 10
1349848783, 3
1349850072, 5
1349851361, 8
1349852650, 1
1349853939, 14
1349855228, 10
1349856517, 12
1349857806, 22
1349859095, 18
1349860384, 13
1349861673, 5
1349862962, 18
1349864251, 7
1349865540, 6
1349866829, 10
1349868118, 20
1349869407, 10
1349870696, 31
1349871985, 25
1349873274, 31
1349874563, 21
1349875852, 23
1349877141, 29
1349878430, 11
1349879719, 20
1349881008, 29
1349882297, 16
1349883586, 16
1349884875, 16
1349886164, 18
1349887453, 21
1349888742, 13
1349890031, 21
1349891320, 14
1349892609, 20
1349893898, 24
1349895187, 39
1349896476, 33
1349897765, 15
1349899054, 9
1349900343, 11
1349901632, 11
1349902921, 19
1349904210, 12
1349905499, 7
1349906788, 2
1349908077, 6
1349909366, 3
1349910655, 0
1349911944, 0
1349913233, 5
1349914522, 1
1349915811, 2
1349917100, 1
1349918389, 4
1349919678, 7
1349920967, 7
1349922256, 7
1349923545, 13
1349924834, 4
1349926123, 2
1349927412, 8
1349928701, 5
1349929990, 3
1349931279, 8
1349932568, 1
1349933857, 8
1349935146, 13
1349936435, 14
1349937724, 4
1349939013, 13
1349940302, 17
1349941591, 9
1349942880, 7
1349944169, 22
1349945458, 29
1349946747, 33
1349948036, 34
1349949325, 17
1349950614, 6
1349951903, 23
1349953192, 24
1349954481, 23
1349955770, 28
1349957059, 21
1349958348, 29
1349959637, 18
1349960926, 27
1349962215, 22
1349963504, 26
1349964793, 33
1349966082, 22
1349967371, 44
1349968660, 24
1349969949, 10
1349971238, 11
1349972527, 10
1349973816, 8
1349975105, 10
1349976394, 6
1349977683, 7
1349978972, 11
1349980261, 17
1349981550, 5
1349982839, 17
1349984128, 10
1349985417, 18
1349986706, 16
1349987995, 3
1349989284, 10
1349990573, 6
1349991862, 5
1349993151, 7
1349994440, 12
1349995729, 10
1349997018, 11
1349998307, 2
1349999596, 9
1350000885, 6
1350002174, 5
1350003463, 2
1350004752, 3
1350006041, 2
1350007330, 8
1350008619, 9
1350009908, 9
1350011197, 7
1350012486, 4
1350013775, 3
1350015064, 1
1350016353, 3
1350017642, 5
1350018931, 3
1350020220, 7
1350021509, 0
1350022798, 0
1350024087, 7
1350025376, 7
1350026665, 3
1350027954, 8
1350029243, 14
1350030532, 6
1350031821, 9
1350033110, 20
1350034399, 8
1350035688, 11
1350036977, 16
1350038266, 13
1350039555, 14
1350040844, 30
1350042133, 10
1350043422, 8
1350044711, 24
1350046000, 20
1350047289, 24
1350048578, 22
1350049867, 17
1350051156, 16
1350052445, 12
1350053734, 9
1350055023, 22
1350056312, 18
1350057601, 19
1350058890, 7
1350060179, 20
1350061468, 13
1350062757, 0
1350064046, 14
1350065335, 10
1350066624, 10
1350067913, 7
1350069202, 4
1350070491, 13
1350071780, 6
1350073069, 5
1350074358, 14
1350075647, 6
1350076936, 5
1350078225, 4
1350079514, 11
1350080803, 5
1350082092, 4
1350083381, 1
1350084670, 4
1350085959, 12
1350087248, 10
1350088537, 2
1350089826, 3
1350091115, 1
1350092404, 2
1350093693, 4
1350094982, 1
1350096271, 1
1350097560, 0
1350098849, 1
1350100138, 4
1350101427, 1
1350102716, 1
